"deltaV_mph_long","seat","seatbelt","airbag","deltaV_mph_lat","deltaV_kph_long","deltaV_kph_lat"
36,11,0,0,0,-57.93624,0
37,11,0,0,0,-59.54558,0
38,11,0,0,0,-61.15492,0
39,11,0,0,0,-62.76426,0
40,11,0,0,0,-64.3736,0
41,11,0,0,0,-65.98294,0
42,11,0,0,0,-67.59228,0
43,11,0,0,0,-69.20162,0
44,11,0,0,0,-70.81096,0
45,11,0,0,0,-72.4203,0
46,11,0,0,0,-74.02964,0
47,11,0,0,0,-75.63898,0
48,11,0,0,0,-77.24832,0
49,11,0,0,0,-78.85766,0
50,11,0,0,0,-80.467,0
51,11,0,0,0,-82.07634,0
52,11,0,0,0,-83.68568,0
53,11,0,0,0,-85.29502,0
54,11,0,0,0,-86.90436,0
55,11,0,0,0,-88.5137,0
56,11,0,0,0,-90.12304,0
57,11,0,0,0,-91.73238,0
58,11,0,0,0,-93.34172,0
59,11,0,0,0,-94.95106,0
60,11,0,0,0,-96.5604,0
61,11,0,0,0,-98.16974,0
62,11,0,0,0,-99.77908,0
63,11,0,0,0,-101.38842,0
64,11,0,0,0,-102.99776,0
65,11,0,0,0,-104.6071,0
36,13,0,0,0,-57.93624,0
37,13,0,0,0,-59.54558,0
38,13,0,0,0,-61.15492,0
39,13,0,0,0,-62.76426,0
40,13,0,0,0,-64.3736,0
41,13,0,0,0,-65.98294,0
42,13,0,0,0,-67.59228,0
43,13,0,0,0,-69.20162,0
44,13,0,0,0,-70.81096,0
45,13,0,0,0,-72.4203,0
46,13,0,0,0,-74.02964,0
47,13,0,0,0,-75.63898,0
48,13,0,0,0,-77.24832,0
49,13,0,0,0,-78.85766,0
50,13,0,0,0,-80.467,0
51,13,0,0,0,-82.07634,0
52,13,0,0,0,-83.68568,0
53,13,0,0,0,-85.29502,0
54,13,0,0,0,-86.90436,0
55,13,0,0,0,-88.5137,0
56,13,0,0,0,-90.12304,0
57,13,0,0,0,-91.73238,0
58,13,0,0,0,-93.34172,0
59,13,0,0,0,-94.95106,0
60,13,0,0,0,-96.5604,0
61,13,0,0,0,-98.16974,0
62,13,0,0,0,-99.77908,0
63,13,0,0,0,-101.38842,0
64,13,0,0,0,-102.99776,0
65,13,0,0,0,-104.6071,0
36,11,1,0,0,-57.93624,0
37,11,1,0,0,-59.54558,0
38,11,1,0,0,-61.15492,0
39,11,1,0,0,-62.76426,0
40,11,1,0,0,-64.3736,0
41,11,1,0,0,-65.98294,0
42,11,1,0,0,-67.59228,0
43,11,1,0,0,-69.20162,0
44,11,1,0,0,-70.81096,0
45,11,1,0,0,-72.4203,0
46,11,1,0,0,-74.02964,0
47,11,1,0,0,-75.63898,0
48,11,1,0,0,-77.24832,0
49,11,1,0,0,-78.85766,0
50,11,1,0,0,-80.467,0
51,11,1,0,0,-82.07634,0
52,11,1,0,0,-83.68568,0
53,11,1,0,0,-85.29502,0
54,11,1,0,0,-86.90436,0
55,11,1,0,0,-88.5137,0
56,11,1,0,0,-90.12304,0
57,11,1,0,0,-91.73238,0
58,11,1,0,0,-93.34172,0
59,11,1,0,0,-94.95106,0
60,11,1,0,0,-96.5604,0
61,11,1,0,0,-98.16974,0
62,11,1,0,0,-99.77908,0
63,11,1,0,0,-101.38842,0
64,11,1,0,0,-102.99776,0
65,11,1,0,0,-104.6071,0
36,13,1,0,0,-57.93624,0
37,13,1,0,0,-59.54558,0
38,13,1,0,0,-61.15492,0
39,13,1,0,0,-62.76426,0
40,13,1,0,0,-64.3736,0
41,13,1,0,0,-65.98294,0
42,13,1,0,0,-67.59228,0
43,13,1,0,0,-69.20162,0
44,13,1,0,0,-70.81096,0
45,13,1,0,0,-72.4203,0
46,13,1,0,0,-74.02964,0
47,13,1,0,0,-75.63898,0
48,13,1,0,0,-77.24832,0
49,13,1,0,0,-78.85766,0
50,13,1,0,0,-80.467,0
51,13,1,0,0,-82.07634,0
52,13,1,0,0,-83.68568,0
53,13,1,0,0,-85.29502,0
54,13,1,0,0,-86.90436,0
55,13,1,0,0,-88.5137,0
56,13,1,0,0,-90.12304,0
57,13,1,0,0,-91.73238,0
58,13,1,0,0,-93.34172,0
